UF,Consumo,Mes,Ano
Paraíba,155788.0,FEV,2011.0
Pernambuco,426466.0,FEV,2011.0
Alagoas,108885.0,FEV,2011.0
Sergipe,95126.0,FEV,2011.0
Bahia,580843.0,FEV,2011.0
Minas Gerais,898791.0,FEV,2011.0
Espírito Santo,220466.0,FEV,2011.0
Rio de Janeiro,1440254.0,FEV,2011.0
São Paulo,3398284.0,FEV,2011.0
Paraná,647604.0,FEV,2011.0
Santa Catarina,538572.0,FEV,2011.0
Rio Grande do Sul,781701.0,FEV,2011.0
Mato Grosso do Sul,166058.0,FEV,2011.0
Mato Grosso,198478.0,FEV,2011.0
Goiás,391317.0,FEV,2011.0
Distrito Federal,180436.0,FEV,2011.0
Rondônia,89867.0,MAR,2011.0
Acre,34661.0,MAR,2011.0
Amazonas,162421.0,MAR,2011.0
Roraima,39064.0,MAR,2011.0
Pará,250537.0,MAR,2011.0
Amapá,42559.0,MAR,2011.0
Tocantins,61202.0,MAR,2011.0
Maranhão,226778.0,MAR,2011.0
Piauí,120620.0,MAR,2011.0
Ceará,313860.0,MAR,2011.0
Rio Grande do Norte,167911.0,MAR,2011.0
Paraíba,154323.0,MAR,2011.0
Pernambuco,420184.0,MAR,2011.0
Alagoas,125191.0,MAR,2011.0
Sergipe,93017.0,MAR,2011.0
Bahia,591643.0,MAR,2011.0
Minas Gerais,872683.0,MAR,2011.0
Espírito Santo,225672.0,MAR,2011.0
Rio de Janeiro,1363129.0,MAR,2011.0
São Paulo,3111987.0,MAR,2011.0
Paraná,602062.0,MAR,2011.0
Santa Catarina,465140.0,MAR,2011.0
Rio Grande do Sul,735225.0,MAR,2011.0
Mato Grosso do Sul,161339.0,MAR,2011.0
Mato Grosso,204492.0,MAR,2011.0
Goiás,281239.0,MAR,2011.0
Distrito Federal,181304.0,MAR,2011.0
Rondônia,94670.0,ABR,2011.0
Acre,35341.0,ABR,2011.0
Amazonas,167071.0,ABR,2011.0
Roraima,37949.0,ABR,2011.0
